X:VCD, X:Glc, X:Lac, X:Titer, W:Feed
5.8637,29.928,167.71,1297.7,0
4.3605,25.061,175.03,1375.3,0
3.2144,21.459,180.44,1430.1,0
2.3539,18.813,184.42,1467.3,0
0.85653,20.139,0,0,0
2.5655,18.634,2.2643,0.2633,0
6.4599,14.514,8.463,4.2627,9.642
12.167,15.295,21.798,33.633,9.642
16.685,10.911,42.916,132.53,9.642
17.679,3.8701,68.123,307.02,9.642
13.989,0.12111,91.543,417.46,9.642
9.907,0.54274,108.53,466.97,9.642
7.4523,2.3242,120.88,551.84,9.642
5.8162,5.7243,130.37,639.5,9.642
4.5592,10.44,137.81,714.33,0
3.5323,6.5938,143.61,773.06,0
2.6774,3.6557,148.06,815.51,0
1.966,1.4819,151.39,842.76,0
1.3457,0.058562,153.77,852.45,0
0.52936,70.437,0,0,0
1.6742,69.477,1.4412,0.036577,0
4.6513,66.636,5.7052,1.0892,0
9.9632,59.768,16.015,14.212,9.6848
15.268,57.198,34.411,79.029,9.6848
17.732,50.794,58.567,227.31,9.6848
17.33,43.482,84.089,436.05,9.6848
15.264,37.457,107.68,660.24,9.6848
12.593,33.773,127.76,866.89,9.6848
9.9575,32.669,143.97,1040.6,9.6848
7.651,33.947,156.6,1178.3,0
5.7727,27.55,166.21,1282.6,0
4.3037,22.753,173.42,1358.8,0
3.1791,19.195,178.77,1412.7,0
2.332,16.577,182.71,1449.3,0
0.99543,58.426,0,0,0
3.0643,56.641,2.6791,0.17442,0
7.7008,51.702,10.094,4.7296,0
13.963,41.31,25.699,42.631,8.3468
18.291,33.92,49.333,164.8,8.3468
19.057,24.105,76.623,371.5,8.3468
17.237,14.932,102.97,612.01,8.3468
14.26,8.1834,125.72,836.93,8.3468
11.087,4.4757,143.95,1018.1,8.3468
8.268,3.6945,157.82,1150.8,8.3468
6.0726,5.2895,168.07,1249.4,8.3468
4.4529,8.6618,175.59,1324,0
3.2361,5.0242,181.08,1376.3,0
2.3032,2.4218,185.04,1407.8,0
1.5788,0.63875,187.82,1420.9,0
0.74896,40.279,0,0,0
2.3186,38.936,2.0169,0.11348,0
6.1232,35.108,7.767,2.6831,0
12.08,26.464,20.754,27.422,8.677
17.08,20.953,42.079,122.67,8.677
18.671,12.233,68.255,304.63,8.677
17.122,3.6418,94.342,524.7,8.677
12.59,0.11991,116.08,628.22,8.677
8.6216,0.59233,131.12,672.91,8.677
6.2689,2.5107,141.7,748.97,8.677
4.7198,6.0225,149.55,823.6,8.677
3.5775,10.767,155.48,884.2,0
2.6944,7.7914,159.97,929.68,0
2.0044,5.567,163.33,961.72,0
1.4726,3.9269,165.82,983.21,0
0.42085,55.687,0,0,0
1.3357,54.923,1.1464,0.026491,0
3.8317,52.622,4.6016,0.67203,0
8.7982,46.751,13.416,9.5291,14.015
14.604,49.463,30.388,61.251,14.015
17.927,47.602,54.228,197.18,14.015
17.986,44.175,80.421,404.23,14.015
15.99,41.793,105.04,634.83,14.015
13.198,41.79,126.1,850.59,14.015
10.37,44.522,143.04,1032.6,0
7.9314,35.791,156.16,1176.1,0
5.9827,29.159,166.12,1284.6,0
4.4594,24.188,173.59,1363.9,0
3.2935,20.501,179.13,1420.1,0
2.4153,17.788,183.21,1458.5,0
0.73754,61.328,0,0,0
2.3032,59.997,1.9969,0.084539,0
6.11,56.181,7.7262,2.4109,0
12.072,47.543,20.695,26.124,11.855
17.084,45.193,42.022,119.75,11.855
18.752,39.59,68.239,301.95,11.855
17.596,33.853,94.663,533.9,11.855
15.028,30.011,118.25,767.47,11.855
12.109,28.864,137.78,973.54,11.855
9.4002,30.441,153.22,1141.5,11.855
7.1144,34.418,165.06,1271.4,0
5.2989,28.507,173.94,1367.7,0
3.9083,24.127,180.52,1436.5,0
2.8609,20.909,185.36,1484,0
2.0823,18.561,188.89,1515.4,0
0.29392,60.384,0,0,0
0.94083,59.856,0.80363,0.012051,17.358
2.7891,75.564,3.279,0.26706,17.358
6.7138,88.527,9.8752,4.2751,17.358
11.24,97.168,22.958,32.26,17.358
12.889,102.64,40.795,111.28,17.358
11.26,108.22,58.465,225.37,17.358
8.338,116.15,72.616,335.75,17.358
5.6115,126.86,82.588,421.29,17.358
3.5782,139.87,89.117,479.91,17.358
2.2134,154.5,93.215,517.29,17.358
1.3456,170.18,95.729,540.02,0
0.80991,169.17,97.249,553.29,0
0.48458,168.56,98.161,560.68,0
0.28891,168.2,98.706,564.49,0
0.55663,24.08,0,0,0
1.709,23.09,1.4886,0.10101,0
4.6412,20.236,5.78,1.6368,19.56
9.961,32.958,16.056,15.866,19.56
15.57,40.151,34.632,82.484,19.56
18.344,43.165,59.481,236.61,19.56
17.88,45.144,85.883,454.81,19.56
15.484,48.609,110.05,686.99,19.56
12.352,54.795,130.13,895.99,19.56
9.0894,64.074,145.57,1063.1,19.56
5.9287,76.45,156.35,1181.1,19.56
3.2875,91.657,162.89,1250.5,19.56
1.6328,108.94,166.31,1283.3,0
0.7893,107.82,167.98,1295.2,0
0.38105,107.28,168.79,1296.8,0
0.20825,17.333,0,0,0
0.64021,16.964,0.55529,0.035774,0
1.871,15.858,2.2193,0.29709,0
4.8019,12.836,6.7687,2.8248,0
9.5151,6.0724,16.971,22.041,10.121
13.727,4.9945,33.913,91.207,10.121
14.935,1.2724,55.054,216.79,10.121
11.762,0.30332,74.498,285.03,10.121
9.1741,1.2834,89.413,360.72,10.121
7.531,3.6148,101.37,455.15,10.121
